#### EXPORT DONNEES METEO POUR "MONTRéAL" (LAT/LON: 45.5086699/-73.5539925)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-03-01,3,-5,25,3,1,-3,19.7,100,8.375,1009,90.125,3,3,-7,308,368,371,0.2,1,4.2,météo très défavorable,17:42:00,06:32:00,2
2021-03-02,-12,-18,27,-18,-15,-12,0.2,83,10,1019,93.875,0,0,-29,119,122,122,0.1,1,4.2,météo très défavorable,17:43:00,06:30:00,-17
2021-03-03,-2,-14,6,-7,-3,-3,3.4,97,4.375,1014,96.125,0,0,-10,338,338,332,2.9,1,4.2,météo très défavorable,17:45:00,06:28:00,-8
2021-03-04,-8,-14,24,-14,-10,-8,1.1,85,8.75,1015,39.375,0,0,-21,116,119,338,0.9,2,7.2,météo très défavorable,17:46:00,06:26:00,-12
2021-03-05,-9,-13,23,-13,-12,-10,4.3,86,4.75,1012,99.375,0,0,-23,338,368,338,3.2,1,4.2,météo très défavorable,17:47:00,06:25:00,-12
2021-03-06,-9,-17,20,-17,-12,-9,0.1,91,10,1020,93.625,0,0,-25,119,122,122,0,1,4.2,météo très défavorable,17:49:00,06:23:00,-16
2021-03-07,-10,-18,9,-18,-12,-11,0,90,9.625,1031,52.75,0,0,-21,116,122,116,0,2,5.7,météo très défavorable,17:50:00,06:21:00,-16
2021-03-08,-6,-17,10,-17,-10,-6,0.1,95,7.125,1033,45.75,0,0,-22,143,116,122,0.1,2,8.7,météo très défavorable,17:51:00,06:19:00,-16
2021-03-09,2,-10,14,-4,1,1,2.5,100,5,1031,84.75,2,2,-7,338,119,143,1.7,1,4.3,météo très défavorable,17:53:00,06:17:00,-4
2021-03-10,3,-4,12,-4,1,3,0.1,98,4.5,1032,74.5,3,2,-7,116,248,119,0,1,5.7,météo très défavorable,17:54:00,06:15:00,-3
2021-03-11,6,-2,16,2,3,6,7.1,99,5.75,1023,94.75,6,6,-2,302,266,176,0,1,4.3,météo très défavorable,17:55:00,06:14:00,2
2021-03-12,7,1,38,2,3,4,1.1,64,7.5,1016,47.375,7,7,-6,113,113,230,0,1,8.7,météo très défavorable,17:57:00,06:12:00,7
2021-03-13,-1,-5,22,-5,-3,-1,0,50,10,1027,59,0,0,-12,116,116,122,0,2,8.7,météo très défavorable,17:58:00,06:10:00,-4
