"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-72,67","45,03","ABERCORN","7020040","1985-04-14","1985","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-15","1985","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-16","1985","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-17","1985","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-18","1985","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-19","1985","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-20","1985","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-21","1985","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-22","1985","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-23","1985","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-24","1985","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-25","1985","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-26","1985","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-27","1985","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-28","1985","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-29","1985","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-30","1985","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-01","1985","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-02","1985","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-03","1985","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-04","1985","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-05","1985","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-06","1985","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-07","1985","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-08","1985","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-09","1985","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-10","1985","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-11","1985","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-12","1985","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-13","1985","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-14","1985","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-15","1985","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-16","1985","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-17","1985","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-18","1985","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-19","1985","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-20","1985","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-21","1985","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-22","1985","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-23","1985","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-24","1985","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-25","1985","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-26","1985","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-27","1985","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-28","1985","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-29","1985","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-30","1985","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-05-31","1985","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-01","1985","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-02","1985","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-03","1985","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-04","1985","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-05","1985","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-06","1985","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-07","1985","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-08","1985","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-09","1985","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-10","1985","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-11","1985","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-12","1985","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-13","1985","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-14","1985","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-15","1985","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-16","1985","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-17","1985","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-18","1985","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-19","1985","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-20","1985","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-21","1985","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-22","1985","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-23","1985","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-24","1985","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-25","1985","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-26","1985","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-27","1985","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-28","1985","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-29","1985","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-06-30","1985","06","30","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-01","1985","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-02","1985","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-03","1985","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-04","1985","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-05","1985","07","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-06","1985","07","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-07","1985","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-08","1985","07","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-09","1985","07","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-10","1985","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-11","1985","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-12","1985","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-13","1985","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-14","1985","07","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-15","1985","07","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-16","1985","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-17","1985","07","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-18","1985","07","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-19","1985","07","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-07-20","1985","07","20","","","","","","","","","","","","","","","","","","","","","","",""
