DATE       ,MAX_TEMPERATURE_C ,MIN_TEMPERATURE_C ,WINDSPEED_MAX_KMH ,TEMPERATURE_MORNING_C ,TEMPERATURE_NOON_C ,TEMPERATURE_EVENING_C ,PRECIP_TOTAL_DAY_MM ,HUMIDITY_MAX_PERCENT ,VISIBILITY_AVG_KM ,PRESSURE_MAX_MB ,CLOUDCOVER_AVG_PERCENT ,HEATINDEX_MAX_C ,DEWPOINT_MAX_C ,WINDTEMP_MAX_C ,WEATHER_CODE_MORNING ,WEATHER_CODE_NOON ,WEATHER_CODE_EVENING ,TOTAL_SNOW_MM ,UV_INDEX ,SUNHOUR ,OPINION                ,SUNSET   ,SUNRISE  ,TEMPERATURE_NIGHT_C
2022-02-23 ,-2                ,-11               ,               29 ,-7                    ,-2                 ,-7                    ,                3   ,                  97 ,            5.625 ,           1023 ,                90.125 ,              0 ,             0 ,-11            ,                 266 ,              332 ,                 122 ,          0.2 ,       1 ,    4.1 ,météo très défavorable ,17:33:00 ,06:43:00 ,-8
2022-02-24 ,-11               ,-23               ,                6 ,-23                   ,-14                ,-14                   ,                0   ,                  96 ,            8     ,           1037 ,                41.625 ,              0 ,             0 ,-28            ,                 143 ,              113 ,                 119 ,          0   ,       2 ,    8.7 ,météo très défavorable ,17:35:00 ,06:41:00 ,-18
2022-02-25 ,-12               ,-16               ,               25 ,-15                   ,-14                ,-12                   ,                2.4 ,                  95 ,            4.375 ,           1035 ,                83.75  ,              0 ,             0 ,-25            ,                 116 ,              338 ,                 338 ,          2   ,       1 ,    4.1 ,météo très défavorable ,17:36:00 ,06:39:00 ,-14
2022-02-26 ,-5                ,-18               ,               19 ,-18                   ,-10                ,-5                    ,                0.1 ,                  99 ,            9     ,           1029 ,                63.875 ,              0 ,             0 ,-25            ,                 326 ,              113 ,                 113 ,          0.1 ,       1 ,    7.2 ,météo très défavorable ,17:37:00 ,06:38:00 ,-16
2022-02-27 ,1                 ,-12               ,               32 ,-5                    ,-1                 ,-5                    ,                1.5 ,                  95 ,            7.625 ,           1016 ,                75.25  ,              1 ,             0 ,-11            ,                 326 ,              230 ,                 368 ,          0.7 ,       2 ,    4.1 ,météo très défavorable ,17:39:00 ,06:36:00 ,-5
2022-02-28 ,-12               ,-22               ,               21 ,-22                   ,-16                ,-12                   ,                0   ,                  89 ,           10     ,           1027 ,                52.375 ,              0 ,             0 ,-30            ,                 113 ,              122 ,                 122 ,          0   ,       2 ,    5.7 ,météo très défavorable ,17:40:00 ,06:34:00 ,-20
2022-03-01 ,-8                ,-23               ,               13 ,-23                   ,-10                ,-8                    ,                0.9 ,                 100 ,            4.875 ,           1028 ,                86.375 ,              0 ,             0 ,-27            ,                 260 ,              122 ,                 338 ,          0.8 ,       2 ,    5.5 ,météo très défavorable ,18:41:00 ,07:33:00 ,-23
2022-03-02 ,-1                ,-16               ,               15 ,-16                   ,-5                 ,-1                    ,                1   ,                  98 ,            5.375 ,           1016 ,                73.25  ,              0 ,             0 ,-21            ,                 260 ,              122 ,                 371 ,          0.8 ,       1 ,    7.1 ,météo très défavorable ,18:42:00 ,07:31:00 ,-12
2022-03-03 ,-5                ,-20               ,               22 ,-16                   ,-12                ,-14                   ,                0.7 ,                  93 ,            9     ,           1031 ,                82.5   ,              0 ,             0 ,-21            ,                 122 ,              122 ,                 116 ,          0.6 ,       1 ,    7.1 ,météo très défavorable ,18:44:00 ,07:29:00 ,-8
2022-03-04 ,-7                ,-25               ,               20 ,-24                   ,-11                ,-7                    ,                0.1 ,                  98 ,            5     ,           1032 ,                66.875 ,              0 ,             0 ,-31            ,                 260 ,              122 ,                 368 ,          0.1 ,       1 ,    5.6 ,météo très défavorable ,18:45:00 ,07:27:00 ,-25
2022-03-05 ,-3                ,-16               ,                9 ,-16                   ,-6                 ,-3                    ,                0   ,                 100 ,            5     ,           1033 ,                78.125 ,              0 ,             0 ,-20            ,                 260 ,              116 ,                 122 ,          0   ,       1 ,    8.6 ,météo très défavorable ,18:47:00 ,07:26:00 ,-16
2022-03-06 ,7                 ,-3                ,               16 ,1                     ,5                  ,7                     ,                4.4 ,                 100 ,            7.75  ,           1022 ,               100     ,              7 ,             7 ,-3             ,                 266 ,              389 ,                 353 ,          0.2 ,       1 ,    5.6 ,météo très défavorable ,18:48:00 ,07:24:00 ,0
2022-03-07 ,3                 ,-1                ,               21 ,1                     ,0                  ,0                     ,                0.9 ,                 100 ,            6.75  ,           1014 ,                93.875 ,              3 ,             3 ,-4             ,                 122 ,              248 ,                 338 ,          0.7 ,       1 ,    5.6 ,météo très défavorable ,18:49:00 ,07:22:00 ,2
2022-03-08 ,-1                ,-7                ,               21 ,-4                    ,-5                 ,-3                    ,                1.2 ,                  82 ,            9     ,           1018 ,                56.75  ,              0 ,             0 ,-14            ,                 116 ,              116 ,                 122 ,          1   ,       1 ,    8.6 ,météo très défavorable ,18:51:00 ,07:20:00 ,-1
2022-03-09 ,2                 ,-8                ,               11 ,-8                    ,0                  ,1                     ,                0   ,                 100 ,            7.5   ,           1020 ,                88.75  ,              2 ,             1 ,-11            ,                 116 ,              248 ,                 122 ,          0   ,       1 ,    5.7 ,météo très défavorable ,18:52:00 ,07:18:00 ,-6
